,doy,lake,year,depth_type,value
181,142,Reference,Dye + Nutrients (2024),Thermocline,2
182,142,Reference,Dye + Nutrients (2024),1% Light,7.396946519
183,142,Reference,Dye + Nutrients (2024),Anoxia,7
184,149,Reference,Dye + Nutrients (2024),Thermocline,2
186,149,Reference,Dye + Nutrients (2024),Anoxia,7
187,156,Reference,Dye + Nutrients (2024),Thermocline,2
185,149,Reference,Dye + Nutrients (2024),1% Light,6.708138153
189,156,Reference,Dye + Nutrients (2024),Anoxia,7.5
190,163,Reference,Dye + Nutrients (2024),Thermocline,2.5
,148,Manipulated,Ambient (2018),BGA,245.4878175
309,163,Reference,Dye + Nutrients (2024),Anoxia,7
193,170,Reference,Dye + Nutrients (2024),Thermocline,2
188,156,Reference,Dye + Nutrients (2024),1% Light,7.086402611
196,177,Reference,Dye + Nutrients (2024),Thermocline,2.5
,155,Manipulated,Ambient (2018),BGA,200.1737615
195,170,Reference,Dye + Nutrients (2024),Anoxia,7
199,184,Reference,Dye + Nutrients (2024),Thermocline,2.5
191,163,Reference,Dye + Nutrients (2024),1% Light,7.860281317
312,177,Reference,Dye + Nutrients (2024),Anoxia,7
202,191,Reference,Dye + Nutrients (2024),Thermocline,3
,162,Manipulated,Ambient (2018),BGA,160.8617989
205,198,Reference,Dye + Nutrients (2024),Thermocline,2.5
194,170,Reference,Dye + Nutrients (2024),1% Light,6.95623995
208,205,Reference,Dye + Nutrients (2024),Thermocline,2.5
315,184,Reference,Dye + Nutrients (2024),Anoxia,7
211,212,Reference,Dye + Nutrients (2024),Thermocline,3
,169,Manipulated,Ambient (2018),BGA,206.454105
318,191,Reference,Dye + Nutrients (2024),Anoxia,7
214,219,Reference,Dye + Nutrients (2024),Thermocline,3
197,177,Reference,Dye + Nutrients (2024),1% Light,6.714180553
217,228,Reference,Dye + Nutrients (2024),Thermocline,3.5
,176,Manipulated,Ambient (2018),BGA,142.6234796
321,198,Reference,Dye + Nutrients (2024),Anoxia,7
220,233,Reference,Dye + Nutrients (2024),Thermocline,3.5
200,184,Reference,Dye + Nutrients (2024),1% Light,6.879971457
227,141,Manipulated,Dye + Nutrients (2024),1% Light,5.054332867
230,148,Manipulated,Dye + Nutrients (2024),1% Light,4.488406962
