,lake,year,date,depth,meanCH4,meanCO2,meanN2O,do_mgl,temp,doy,light,notes,manual_chl,surface_bga
29,Paul,2018,7/4/2018,8,60.62,371.83,NA,0.1,5.3,185,0.002,,242.786615,2.482826461
30,Paul,2018,7/4/2018,9,190.67,450.93,NA,0.07,5.1,185,0.0009,,,
31,Paul,2018,7/4/2018,10,264.28,472.02,NA,0.1,5,185,0,,,
32,Paul,2018,7/4/2018,11.5,305.1,516.31,NA,0.1,5,185,0,,,
33,Paul,2018,7/18/2018,0,2.83,64.17,NA,6.69,24.5,199,0.77,,3.12,145.20
34,Paul,2018,7/18/2018,2.5,3.13,66.9,NA,6.69,23.9,199,0.145,,3.12,145.20
35,Paul,2018,7/18/2018,4.5,0.59,136.14,NA,7.75,11.4,199,0.03,,3.12,145.20
36,Paul,2018,7/18/2018,6.5,0.84,273.95,NA,0.5,6.7,199,0.0066,,3.12,145.20
37,Paul,2018,7/18/2018,8,112.63,456.35,NA,0.09,5.4,199,0.0021,,3.12,145.20
82,Paul,2019,5/22/2019,2.5,1.35,39.36,NA,10.32,10.7,142,0.2,,,
83,Paul,2019,5/22/2019,4.5,0.67,76.23,NA,10.14,6.6,142,0.05,,,
192,Paul,2024,6/7/2024,0,1.15,27.65,0.0106,5.9,19.9,159,0.892,,,322.4
193,Paul,2024,6/7/2024,2.5,1.24,29.8,0.0103,5.9,18.7,159,0.199,,,322.4
305,Peter,2018,7/4/2018,13,346.44,431.14,NA,0.07,4.6,185,0,,,
306,Peter,2018,7/4/2018,15,488.44,488.96,NA,0.07,4.6,185,0,,,
307,Peter,2018,7/4/2018,16,570.09,538.74,NA,0.06,4.6,185,0,,,
308,Peter,2018,7/18/2018,0,1.51,35.33,NA,7.05,24.2,199,0.84,,2.52,236.55
309,Peter,2018,7/18/2018,3.5,0.71,27.64,NA,12.9,14.8,199,0.04,,2.52,236.55
310,Peter,2018,7/18/2018,6,0.78,156.29,NA,0.25,5.7,199,0.0043,,2.52,236.55
311,Peter,2018,7/18/2018,9,63.59,345.73,NA,0.07,4.6,199,0,,,
312,Peter,2018,7/18/2018,11,201.01,391.68,NA,0.08,4.5,199,0,,,
313,Peter,2018,7/18/2018,13,372.08,489.82,NA,0.08,4.5,199,0,,,
314,Peter,2018,7/18/2018,15,560.62,626.41,NA,0.07,4.5,199,0,,,
315,Peter,2018,7/18/2018,16,517.74,592,NA,0.06,4.6,199,0,,,
316,Peter,2018,7/25/2018,0,1.58,14.79,NA,7.6,23.7,206,0.86,,3.04,297.78
317,Peter,2018,7/25/2018,3.5,0.92,33.49,NA,12.6,15.4,206,0.04,,3.04,297.78
318,Peter,2018,7/25/2018,6,0.59,147.23,NA,0.2,5.9,206,0.0051,,3.04,297.78
319,Peter,2018,7/25/2018,9,27.18,307.22,NA,0.07,4.7,206,0,,,
320,Peter,2018,7/25/2018,11,102.43,214.41,NA,0.1,4.5,206,0,,,
370,Peter,2019,5/29/2019,15,272.99,364.77,NA,0.22,4.5,149,0,,,
466,Peter,2024,6/7/2024,0,0.51,26.85,0.009645,5.7,21.4,159,0.68,light at 0.25 m depth,,185.95
467,Peter,2024,6/7/2024,3.5,0.23,23.45,0.01185,10.2,10.3,159,0.037,,,185.95
84,Paul,2019,5/22/2019,6.5,25.48,258.38,NA,0.1,5,142,0.009,,,
85,Paul,2019,5/22/2019,8,111.73,371.54,NA,0.05,4.8,142,0.0031,,,
371,Peter,2019,5/29/2019,16,334.96,437.74,NA,0.24,4.5,149,0,,,
38,Paul,2018,7/18/2018,9,194.68,500.91,NA,0.07,5.1,199,0.001,"Bad reps, replaced with lower value",,
86,Paul,2019,5/22/2019,9,160.38,393.67,NA,0.04,4.8,142,0.0015,,,
372,Peter,2019,6/5/2019,0,0.68,35.64,NA,8.73,19,156,0.57,,4.55,302.7395833
373,Peter,2019,6/5/2019,3.5,0.33,11.78,NA,13.25,7.3,156,0.03,,4.55,302.7395833
374,Peter,2019,6/5/2019,6,0.95,288.72,NA,0.75,4.9,156,0.0032,,4.55,302.7395833
39,Paul,2018,7/18/2018,10,166.7,456.71,NA,0.08,5,199,0,,,
87,Paul,2019,5/22/2019,10,163.61,411.65,NA,0.03,4.8,142,0,,,
88,Paul,2019,5/22/2019,11.5,173.31,403.74,NA,0.1,4.8,142,0,,,
89,Paul,2019,5/29/2019,0,1.07,52.07,NA,9.57,14.4,149,0.8,,1.79,265.44
375,Peter,2019,6/5/2019,9,42.61,245.53,NA,0.26,4.4,156,0,,,
376,Peter,2019,6/5/2019,11,136.59,311.64,NA,0.24,4.4,156,0,,,
377,Peter,2019,6/5/2019,13,249.26,348.84,NA,0.26,4.5,156,0,,,
378,Peter,2019,6/5/2019,15,364.28,385.55,NA,0.57,4.5,156,0,,,
379,Peter,2019,6/5/2019,16,162.33,217.51,NA,0.44,4.5,156,0,,,
380,Peter,2019,6/20/2019,0,1.09,21.89,NA,7.65,20.2,171,0.58,,7.39,373.373158
381,Peter,2019,6/20/2019,3.5,0.86,51.45,NA,12.74,9.4,171,0.03,,7.39,373.373158
382,Peter,2019,6/20/2019,6,0.76,152.46,NA,0.34,5.2,171,0.0026,,7.39,373.373158
383,Peter,2019,6/20/2019,9,65.38,325.74,NA,0.2,4.4,171,0,,,
384,Peter,2019,6/20/2019,11,143.17,422.58,NA,0.19,4.4,171,0,,,
385,Peter,2019,6/20/2019,13,338.78,503.97,NA,0.21,4.5,171,0,,,
386,Peter,2019,6/20/2019,15,449.47,589.55,NA,0.41,4.5,171,0,,,
90,Paul,2019,5/29/2019,2.5,0.9,44.22,NA,11.4,11.2,149,0.15,,1.79,265.44
387,Peter,2019,6/20/2019,16,536.09,666.22,NA,0.41,4.5,171,0,,,
388,Peter,2019,6/27/2019,0,0.88,17.98,NA,7.45,23,178,0.67,,6.06,393.9160914
389,Peter,2019,6/27/2019,3.5,0.85,15.97,NA,13.12,9.3,178,0.04,,6.06,393.9160914
390,Peter,2019,6/27/2019,6,0.9,176.62,NA,0.26,5.3,178,0.0031,,6.06,393.9160914
391,Peter,2019,6/27/2019,9,73.61,373.15,NA,0.23,4.5,178,0,,,
91,Paul,2019,5/29/2019,4.5,0.45,74.91,NA,9.16,6.8,149,0.04,,1.79,265.44
92,Paul,2019,5/29/2019,6.5,26.12,300.66,NA,0.1,5.2,149,0.011,,1.79,265.44
93,Paul,2019,5/29/2019,8,58.4,390.44,NA,0.45,4.9,149,0.004,,1.79,265.44
321,Peter,2018,7/25/2018,13,484.72,477.64,NA,0.1,4.5,206,0,,,
392,Peter,2019,6/27/2019,11,140.56,347.79,NA,0.24,4.5,178,0,,,
393,Peter,2019,6/27/2019,13,303.56,437.56,NA,0.25,4.5,178,0,,,
94,Paul,2019,5/29/2019,9,81.18,395.1,NA,0.4,4.8,149,0.002,,,
394,Peter,2019,6/27/2019,15,343.38,446.42,NA,0.27,4.5,178,0,,,
40,Paul,2018,7/18/2018,11.5,316.14,453.25,NA,0.1,5,199,0,,,
395,Peter,2019,6/27/2019,16,452.09,565.85,NA,0.25,4.5,178,0,,,
396,Peter,2019,7/3/2019,0,0.96,23.14,NA,7.12,25.1,184,0.68,,2.98,415.7798767
95,Paul,2019,5/29/2019,10,96.47,452.74,NA,0.38,4.8,149,0,,,
96,Paul,2019,5/29/2019,11.5,106.78,413.16,NA,0.1,4.8,149,0,,,
97,Paul,2019,6/5/2019,0,1.21,41.45,NA,7.84,18.9,156,0.87,,2.81,155.31
98,Paul,2019,6/5/2019,2.5,1.44,43.87,NA,10.8,13.1,156,0.18,,2.81,155.31
397,Peter,2019,7/3/2019,3.5,0.76,40.53,NA,12.33,9.8,184,0.03,,2.98,415.7798767
398,Peter,2019,7/3/2019,6,1.75,295.11,NA,0.22,5.4,184,0.0042,,2.98,415.7798767
99,Paul,2019,6/5/2019,4.5,0.78,42.21,NA,10.28,7.5,156,0.06,,2.81,155.31
100,Paul,2019,6/5/2019,6.5,15.01,248.54,NA,0.6,5.4,156,0.01,,2.81,155.31
322,Peter,2018,7/25/2018,15,657.83,554.76,NA,0.1,4.5,206,0,,,
399,Peter,2019,7/3/2019,9,69.72,354.82,NA,0.2,4.5,184,0,,,
41,Paul,2018,7/25/2018,0,1.2,38.32,NA,7,23.4,206,0.82,,4.18,152.77
194,Paul,2024,6/7/2024,4.5,0.33,17.15,0.01265,9.1,10.6,159,0.061,,,322.4
195,Paul,2024,6/7/2024,6.5,0.12,153,0.00433,4.5,6.3,159,0.018,,,322.4
196,Paul,2024,6/7/2024,8,98.3,342.5,-0.00023,0.6,5.6,159,0.0052,,,322.4
197,Paul,2024,6/7/2024,9,1.27,351,0.004065,0.4,5.1,159,0.0028,,,
198,Paul,2024,6/7/2024,11.5,98.3,393,0.01085,0.2,4.9,159,0,"suspiciously low CH4 (1.69), replaced with values from next highest depth",,
468,Peter,2024,6/7/2024,6,0.03,189.5,0.00845,5.5,4.7,159,0.0026,,,185.95
323,Peter,2018,7/25/2018,16,566.21,480.17,NA,0.1,4.5,206,0,,,
400,Peter,2019,7/3/2019,11,178.45,425.22,NA,0.18,4.5,184,0,,,
401,Peter,2019,7/3/2019,13,340.43,559.28,NA,0.24,4.5,184,0,,,
469,Peter,2024,6/7/2024,9,8.85,272,-0.0015045,0.3,4.5,159,0,,,
470,Peter,2024,6/7/2024,11,106.95,340,-0.00163,0.2,4.4,159,0,,,
471,Peter,2024,6/7/2024,13,266.5,396.5,-0.0014055,0.2,4.5,159,0,,,
472,Peter,2024,6/7/2024,16,426,469,-0.00208,0.1,4.6,159,0,,,
473,Peter,2024,6/10/2024,0,0.44,20.6,0.0112,8.1,21.1,162,0.728,,,133.66
474,Peter,2024,6/10/2024,3.5,0.26,27.5,0.0129,10.8,11,162,0.026,,,133.66
475,Peter,2024,6/10/2024,6,0.07,104.5,0.0123,4.6,5.1,162,0.0024,,,133.66
476,Peter,2024,6/10/2024,9,7.61,276.5,0.00069,0.2,4.5,162,0,,,
477,Peter,2024,6/10/2024,11,101.95,350.5,-0.0008076,0.2,4.4,162,0,,,
478,Peter,2024,6/10/2024,13,180.5,231.5,-0.00234,0.2,4.5,162,0,,,
479,Peter,2024,6/10/2024,16,361,469,0.00571,0.2,4.6,162,0,,,
199,Paul,2024,6/11/2024,0,1.22,31.85,0.01135,9.2,16.4,163,0.864,,,279.61
200,Paul,2024,6/11/2024,2.5,1.27,32.2,0.0109,8.1,17.9,163,0.214,,,279.61
201,Paul,2024,6/11/2024,4.5,0.33,17.2,0.01255,12.8,10.6,163,0.077,,,279.61
